feat,score
40,5.589452742663526e-06
35,5.81503935483986e-07
80,5.624687202514071e-05
84,5.44195965558646e-06
69,1.1204135634447152e-05
114,2.377893525242966e-06
59,2.7075139920883576e-05
46,2.0413750528194656e-06
39,1.8501204612194136e-06
21,8.04973035751274e-06
27,6.964146495367848e-06
82,1.2757948912615544e-06
89,1.3060422423927937e-05
43,2.064907348388323e-05
28,6.876315396783621e-06
120,4.504326601480896e-06
88,4.734532960773419e-05
22,8.163241067588034e-06
113,7.5023686973031e-07
91,5.044057473091619e-05
37,4.2316535836823405e-05
10,2.829812487057347e-05
117,4.999576294153346e-06
42,2.6080165657528867e-05
93,5.1707053249964996e-05
31,8.437955040629507e-06
115,1.8033388259815555e-05
118,3.767920904403088e-06
90,4.77370856046184e-05
36,5.46284021731968e-06
111,3.087239084059463e-05
68,3.982715240022187e-06
85,1.3451541043329324e-05
119,6.527855080434505e-07
86,2.7461943447612894e-06
126,3.2943264820575746e-07
121,2.6556195613528476e-05
67,1.7127716234709156e-07
50,2.2335649209515203e-06
97,3.2078484528724055e-05
5,2.508553516135381e-05
25,2.6752960648379967e-05
23,1.1415502099103043e-05
18,2.712301678330694e-05
2,1.4017707823919985e-05
33,2.077757937035858e-05
96,3.37861380069783e-06
95,2.4496781743728498e-06
17,2.6849940007341727e-05
6,7.857952017516906e-06
53,2.3112412850566713e-05
41,1.59547692751838e-07
